DOCUMENTO 1
   Término   TF         IDF        TF-IDF     Índice
----------------------------------------------------
       Red   1.000000   1.301030   1.301030   0
    cherry   1.000000   1.301030   1.301030   1
     fruit   1.000000   0.301030   0.301030   2
     comes   1.000000   1.000000   1.000000   3
     laced   1.000000   1.301030   1.301030   4
      with   1.000000   0.000000   0.000000   5
     light   1.000000   1.301030   1.301030   6
   tannins   1.000000   0.698970   0.698970   7
    giving   1.000000   1.000000   1.000000   8
      this   1.000000   0.000000   0.000000   9
    bright   1.000000   0.778151   0.778151   10
      wine   1.000000   0.000000   0.000000   11
        an   1.000000   0.778151   0.778151   12
      open   1.000000   1.000000   1.000000   13
     juicy   1.000000   0.778151   0.778151   14
 character   1.000000   1.000000   1.000000   15

DOCUMENTO 2
   Término   TF         IDF        TF-IDF     Índice
----------------------------------------------------
    Merlot   1.000000   1.301030   1.301030   0
       and   3.000000   0.000000   0.000000   1
      Nero   1.000000   1.301030   1.301030   2
   d'Avola   1.000000   1.301030   1.301030   3
      form   1.000000   1.301030   1.301030   4
       the   2.000000   0.000000   0.000000   5
      base   1.000000   1.301030   1.301030   6
       for   1.000000   1.301030   1.301030   7
      this   1.000000   0.000000   0.000000   8
      easy   1.000000   1.301030   1.301030   9
       red   1.000000   1.000000   1.000000   10
      wine   1.000000   0.000000   0.000000   11
      that   1.000000   0.602060   0.602060   12
     would   1.000000   1.000000   1.000000   13
      pair   1.000000   1.000000   1.000000   14
      with   1.000000   0.000000   0.000000   15
fettuccine   1.000000   1.301030   1.301030   16
       and   3.000000   0.000000   0.000000   17
      meat   1.000000   1.000000   1.000000   18
     sauce   1.000000   1.000000   1.000000   19
        or   1.000000   0.778151   0.778151   20
      pork   1.000000   1.301030   1.301030   21
     roast   1.000000   1.301030   1.301030   22
       The   1.000000   0.301030   0.301030   23
   quality   1.000000   1.000000   1.000000   24
        of   1.000000   0.000000   0.000000   25
       the   2.000000   0.000000   0.000000   26
     fruit   1.000000   0.301030   0.301030   27
        is   1.000000   0.000000   0.000000   28
     clean   1.000000   0.778151   0.778151   29
    bright   1.000000   0.778151   0.778151   30
       and   3.000000   0.000000   0.000000   31
     sharp   1.000000   1.301030   1.301030   32

